Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,Cluster,PCA1,PCA2
1471,120,RH,26.0,5858.0,Pave,Grvl,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5.0,1999,1999,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,1051.0,BLQ,0.0,354.0,1405.0,GasA,Ex,Y,SBrkr,1337,0,0,1337.0,1.0,0.0,2.0,0,2.0,1,Gd,5,Typ,1.0,Fa,Attchd,1999.0,Fin,2.0,511.0,TA,TA,Y,203,68,0,0,0,0,Ex,MnPrv,Shed,0,6,2010,WD,Normal,0,0.736028293468047,-1.8302117701508456
1472,160,RM,21.0,1680.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5.0,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,405.0,TA,TA,CBlock,TA,TA,No,Rec,156.0,Unf,0.0,327.0,483.0,GasA,TA,Y,SBrkr,483,504,0,987.0,0.0,0.0,1.0,1,2.0,1,TA,5,Typ,0.0,Gd,Detchd,1971.0,Unf,1.0,264.0,TA,TA,Y,275,0,0,0,0,0,Ex,MnPrv,Shed,0,2,2010,COD,Normal,1,-2.5330194127919325,-1.4928102398552734
1473,160,RM,21.0,1680.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5.0,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,405.0,TA,TA,CBlock,TA,TA,No,Rec,300.0,Unf,0.0,225.0,525.0,GasA,TA,Y,SBrkr,525,567,0,1092.0,0.0,0.0,1.0,1,3.0,1,TA,6,Typ,0.0,Gd,Detchd,1997.0,Unf,1.0,320.0,TA,TA,Y,0,0,0,0,0,0,Ex,MnPrv,Shed,0,3,2010,WD,Normal,1,-2.373734912124004,-0.9476029006763488
1474,160,RL,24.0,2280.0,Pave,Grvl,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6.0,1975,1975,Gable,CompShg,Plywood,Brk Cmn,BrkFace,0.0,TA,TA,CBlock,TA,TA,No,ALQ,514.0,Unf,0.0,341.0,855.0,GasA,TA,Y,SBrkr,855,601,0,1456.0,0.0,0.0,2.0,1,3.0,1,Gd,6,Typ,1.0,TA,Attchd,1975.0,Unf,2.0,440.0,TA,TA,Y,173,0,0,0,0,0,Ex,MnPrv,Shed,0,6,2010,WD,Normal,1,-0.3655051078734389,-0.6549117022612059
1475,120,RL,24.0,2280.0,Pave,Grvl,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6.0,1975,1975,Gable,CompShg,Plywood,Brk Cmn,BrkFace,0.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,836.0,836.0,GasA,Ex,Y,SBrkr,836,0,0,836.0,0.0,0.0,1.0,0,2.0,1,TA,4,Typ,0.0,Gd,Attchd,1975.0,Unf,1.0,308.0,TA,TA,Y,0,30,0,0,0,0,Ex,MnPrv,Shed,0,6,2010,WD,Normal,1,-2.366476484074516,-1.973930884245339
1476,60,RL,102.0,12858.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5.0,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162.0,Ex,TA,PConc,Ex,TA,No,Unf,0.0,Unf,0.0,1590.0,1590.0,GasA,Ex,Y,SBrkr,1627,707,0,2334.0,0.0,0.0,2.0,1,3.0,1,Ex,10,Typ,1.0,Gd,Attchd,2009.0,Fin,3.0,751.0,TA,TA,Y,144,133,0,0,0,0,Ex,MnPrv,Shed,0,1,2010,New,Partial,0,4.592567173358034,0.8189364722536727
1477,20,RL,94.0,12883.0,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5.0,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1544.0,1544.0,GasA,Ex,Y,SBrkr,1544,0,0,1544.0,0.0,0.0,2.0,0,3.0,1,Gd,7,Typ,0.0,Gd,Attchd,2009.0,RFn,3.0,868.0,TA,TA,Y,0,35,0,0,0,0,Ex,MnPrv,Shed,0,6,2010,New,Partial,0,3.283711618343631,-0.9555290258729588
1478,20,RL,90.0,11520.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,5.0,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,405.0,Gd,TA,PConc,Ex,TA,No,GLQ,110.0,Unf,0.0,1588.0,1698.0,GasA,Ex,Y,SBrkr,1698,0,0,1698.0,0.0,0.0,2.0,0,3.0,1,Ex,7,Typ,1.0,Gd,Attchd,2005.0,Fin,3.0,730.0,TA,TA,Y,192,74,0,0,0,0,Ex,MnPrv,Shed,0,6,2010,WD,Normal,0,3.410890876901332,-0.9731314018232401
1479,20,RL,79.0,14122.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5.0,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,240.0,Gd,TA,PConc,Ex,TA,No,GLQ,28.0,Unf,0.0,1794.0,1822.0,GasA,Ex,Y,SBrkr,1822,0,0,1822.0,0.0,0.0,2.0,0,3.0,1,Ex,8,Typ,1.0,Gd,Attchd,2005.0,RFn,3.0,678.0,TA,TA,Y,0,119,0,0,0,0,Ex,MnPrv,Shed,0,2,2010,WD,Normal,0,3.5999800021568324,-0.11372951275714724
1480,20,RL,110.0,14300.0,Pave,Grvl,Reg,HLS,AllPub,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,5.0,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,405.0,Ex,TA,PConc,Ex,TA,Gd,GLQ,1373.0,Unf,0.0,1473.0,2084.0,GasA,Ex,Y,SBrkr,2146,0,0,2626.25,1.0,0.0,2.0,1,3.0,1,Ex,10,Typ,2.0,Gd,Attchd,2003.0,Fin,3.0,958.0,TA,TA,Y,220,150,0,0,0,0,Ex,MnPrv,Shed,0,6,2010,WD,Normal,0,5.570057362620025,1.0089822793101724
1481,60,RL,105.0,13650.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5.0,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,232.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,578.0,Unf,0.0,1093.0,1671.0,GasA,Ex,Y,SBrkr,1687,563,0,2250.0,1.0,0.0,2.0,1,3.0,1,Gd,7,Typ,1.0,Ex,Attchd,2002.0,Fin,3.0,756.0,TA,TA,Y,238,130,0,0,0,0,Ex,MnPrv,Shed,0,6,2010,WD,Normal,0,3.714943792621989,-0.11883748495308492
1482,120,RL,41.0,7132.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5.0,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,0.0,1346.0,1370.0,GasA,Ex,Y,SBrkr,1370,0,0,1370.0,0.0,0.0,2.0,0,2.0,1,Gd,6,Typ,1.0,Gd,Attchd,2006.0,RFn,2.0,484.0,TA,TA,Y,120,49,0,0,0,0,Ex,MnPrv,Shed,0,4,2010,WD,Normal,0,1.284706111544711,-1.499241174077959
1483,20,RL,100.0,17707.25,Pave,Grvl,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5.0,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1324.0,1324.0,GasA,Ex,Y,SBrkr,1324,0,0,1324.0,0.0,0.0,2.0,0,3.0,1,Gd,6,Typ,0.0,Gd,Attchd,2005.0,Fin,2.0,430.0,TA,TA,Y,36,23,0,0,0,0,Ex,MnPrv,Shed,0,1,2010,WD,Normal,0,1.19589872875041,-0.19682026717112341
1484,120,RL,43.0,3203.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5.0,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,14.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16.0,Unf,0.0,1129.0,1145.0,GasA,Ex,Y,SBrkr,1145,0,0,1145.0,0.0,0.0,2.0,0,2.0,1,Gd,6,Typ,0.0,Gd,Attchd,2006.0,Fin,2.0,437.0,TA,TA,Y,100,116,0,0,0,0,Ex,MnPrv,Shed,0,1,2010,WD,Normal,0,0.38458000456328234,-1.8508813752479223
1485,80,RL,67.0,13300.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5.0,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,326.0,Unf,0.0,58.0,384.0,GasA,Ex,Y,SBrkr,744,630,0,1374.0,1.0,0.0,2.0,1,3.0,1,Gd,7,Typ,1.0,Gd,BuiltIn,2004.0,Fin,2.0,400.0,TA,TA,Y,100,0,0,0,0,0,Ex,MnPrv,Shed,0,6,2010,WD,Normal,0,0.6974547356244625,0.02565195770092464
1486,60,RL,63.0,8577.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5.0,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,847.0,847.0,GasA,Ex,Y,SBrkr,847,886,0,1733.0,0.0,0.0,2.0,1,3.0,1,Gd,7,Typ,1.0,Gd,BuiltIn,2004.0,Fin,2.0,433.0,TA,TA,Y,144,48,0,0,0,0,Ex,MnPrv,Shed,0,4,2010,WD,Normal,0,1.1132259854639535,-0.2957070858786773
1487,60,RL,60.0,17433.0,Pave,Grvl,IR2,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5.0,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,114.0,Gd,TA,PConc,Ex,TA,No,Unf,0.0,Unf,0.0,1629.0,1629.0,GasA,Ex,Y,SBrkr,1645,830,0,2475.0,0.0,0.0,2.0,1,4.0,1,Gd,7,Typ,1.0,TA,Attchd,1998.0,Fin,3.0,962.0,TA,TA,Y,23,172,0,0,256,0,Ex,MnPrv,Shed,0,1,2010,WD,Normal,0,4.400520986269481,0.3884745966844699
1488,20,RL,73.0,8987.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5.0,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,226.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1595.0,1595.0,GasA,Ex,Y,SBrkr,1595,0,0,1595.0,0.0,0.0,2.0,0,2.0,1,Gd,6,Typ,1.0,Gd,Attchd,2005.0,RFn,3.0,880.0,TA,TA,Y,144,0,0,0,0,0,Ex,MnPrv,Shed,0,5,2010,WD,Normal,0,2.9240372174681735,-1.6336405087324781
1489,20,FV,92.0,9215.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5.0,2009,2010,Hip,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1218.0,1218.0,GasA,Ex,Y,SBrkr,1218,0,0,1218.0,0.0,0.0,2.0,0,2.0,1,Gd,4,Typ,0.0,Gd,Attchd,2009.0,RFn,2.0,676.0,TA,TA,Y,0,136,0,0,0,0,Ex,MnPrv,Shed,0,4,2010,New,Partial,0,0.8877448216920255,-2.1928006348439495
1490,20,FV,84.0,10440.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,6,5.0,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Ex,TA,No,GLQ,1414.0,Unf,0.0,54.0,1468.0,GasA,Ex,Y,SBrkr,1468,0,0,1468.0,1.0,0.0,2.0,0,2.0,1,Gd,6,Typ,1.0,Gd,Attchd,2005.0,Fin,2.0,528.0,TA,TA,Y,0,102,0,0,216,0,Ex,MnPrv,Shed,0,5,2010,WD,Normal,0,1.1806064687620905,-0.8913657456802193
1491,60,RL,70.0,11920.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5.0,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,122.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,831.0,831.0,GasA,Ex,Y,SBrkr,831,828,0,1659.0,0.0,0.0,2.0,1,3.0,1,Gd,8,Typ,0.0,Gd,Attchd,2004.0,RFn,2.0,484.0,TA,TA,Y,144,68,0,0,0,0,Ex,MnPrv,Shed,0,4,2010,WD,Normal,0,1.5194924862874064,0.31800289145748045
1492,30,RH,70.0,9800.0,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,5,5.0,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,816.0,816.0,GasA,TA,N,FuseA,1012,0,0,1012.0,0.0,0.0,1.0,0,2.0,1,TA,5,Typ,0.0,Gd,Detchd,1920.0,Unf,1.0,429.0,TA,TA,Y,121,0,80,0,0,0,Ex,MnPrv,Shed,0,4,2010,WD,Normal,1,-2.2957704150831053,0.026105156159554756
1493,20,RL,39.0,15410.0,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRNe,Norm,1Fam,1Story,6,6.0,1974,2002,Hip,CompShg,Plywood,Plywood,BrkCmn,250.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,126.0,GLQ,859.0,223.0,1208.0,GasA,Ex,Y,SBrkr,1494,0,0,1494.0,1.0,0.0,2.0,0,3.0,1,TA,7,Typ,2.0,Fa,Attchd,1974.0,Fin,2.0,461.0,TA,TA,Y,296,0,186,0,0,0,Ex,GdPrv,Shed,0,4,2010,WD,Abnorml,0,0.8839136568446333,0.9232839623933812
1494,60,RL,85.0,13143.0,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5.0,1993,1993,Gable,CompShg,HdBoard,ImStucc,BrkFace,405.0,Gd,TA,PConc,Gd,TA,No,LwQ,250.0,GLQ,981.0,0.0,1231.0,GasA,Ex,Y,SBrkr,1251,1098,0,2349.0,1.0,0.0,2.0,1,4.0,1,Gd,9,Typ,1.0,TA,Attchd,1993.0,RFn,3.0,762.0,TA,TA,Y,32,130,0,0,0,0,Ex,MnPrv,Shed,0,6,2010,WD,Normal,0,3.7649261696699012,0.9659495049755861
1495,60,RL,88.0,11134.0,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5.0,1992,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,180.0,Gd,TA,PConc,Gd,TA,No,GLQ,1129.0,Unf,0.0,261.0,1390.0,GasA,Ex,Y,SBrkr,1402,823,0,2225.0,1.0,0.0,2.0,1,4.0,1,Gd,7,Typ,1.0,TA,Attchd,1992.0,RFn,3.0,713.0,TA,TA,Y,198,30,0,0,0,0,Ex,MnPrv,Shed,0,6,2010,WD,Normal,0,3.1726741489151697,-0.10627901607932393
1496,120,FV,25.0,4835.0,Pave,Grvl,IR1,Lvl,AllPub,CulDSac,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,7,5.0,2004,2005,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1298.0,Unf,0.0,190.0,1488.0,GasA,Ex,Y,SBrkr,1488,0,0,1488.0,1.0,0.0,2.0,0,2.0,1,Gd,6,Typ,1.0,Gd,Attchd,2004.0,Fin,2.0,506.0,TA,TA,Y,168,50,0,0,0,0,Ex,MnPrv,Shed,0,3,2010,WD,Normal,0,1.1007860526329893,-1.5191638678295223
1497,160,FV,39.0,3515.0,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5.0,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,840.0,840.0,GasA,Ex,Y,SBrkr,840,840,0,1680.0,0.0,0.0,2.0,1,2.0,1,Gd,3,Typ,0.0,Gd,Attchd,2004.0,RFn,2.0,588.0,TA,TA,Y,0,111,0,0,0,0,Ex,MnPrv,Shed,0,1,2010,WD,Normal,0,0.2583707911772277,-2.4606103871892513
1498,160,FV,30.0,3215.0,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5.0,2004,2004,Gable,CompShg,MetalSd,MetalSd,BrkFace,120.0,Gd,TA,PConc,Gd,TA,Av,GLQ,280.0,Unf,0.0,320.0,600.0,GasA,Ex,Y,SBrkr,600,600,0,1200.0,0.0,0.0,2.0,1,2.0,1,Gd,4,Typ,0.0,Gd,Detchd,2004.0,RFn,2.0,480.0,TA,TA,Y,0,172,0,0,0,0,Ex,MnPrv,Shed,0,4,2010,ConLD,Normal,1,-0.30813335511122164,-2.378768275919015
1499,160,FV,24.0,2544.0,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5.0,2004,2005,Gable,CompShg,MetalSd,MetalSd,BrkFace,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,368.0,ALQ,42.0,190.0,600.0,GasA,Ex,Y,SBrkr,600,600,0,1200.0,1.0,0.0,2.0,1,2.0,1,Gd,4,Typ,0.0,Gd,Detchd,2004.0,RFn,2.0,480.0,TA,TA,Y,0,172,0,0,0,0,Ex,MnPrv,Shed,0,2,2010,WD,Normal,1,-0.34580771804842353,-2.4441607808987045
1500,160,FV,24.0,2544.0,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5.0,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,216.0,Gd,TA,PConc,Gd,TA,No,GLQ,376.0,Unf,0.0,224.0,600.0,GasA,Ex,Y,SBrkr,600,636,0,1236.0,1.0,0.0,2.0,1,2.0,1,Gd,4,Typ,0.0,Gd,Detchd,2005.0,RFn,2.0,480.0,TA,TA,Y,0,166,0,0,0,0,Ex,MnPrv,Shed,0,5,2010,WD,Normal,1,-0.5602541319498274,-2.305559975439345
